stop_loss,sell_pct,trail_dist,entries,mean_pnl,median_pnl,std_pnl,win_rate,annual_ev,sharpe,max_loss,max_win
0.36,0.25,,496,-1.046172520835278,-4.698887871544516,18.458183390782132,14.31451612903226,-1726.5270431123001,-0.056677978470932734,-27.863075972827193,58.05750777931742
0.38,1.0,0.05,705,-1.5316886354439767,-2.806391268023578,7.353912621288826,18.156028368794328,-3592.9238054873567,-0.2082821369144222,-28.630982531449355,47.94310594260088
0.38,1.0,0.1,705,-1.5316886354439767,-2.806391268023578,7.353912621288826,18.156028368794328,-3592.9238054873567,-0.2082821369144222,-28.630982531449355,47.94310594260088
0.38,1.0,0.15,705,-1.5316886354439767,-2.806391268023578,7.353912621288826,18.156028368794328,-3592.9238054873567,-0.2082821369144222,-28.630982531449355,47.94310594260088
0.38,1.0,,705,-1.5316886354439767,-2.806391268023578,7.353912621288826,18.156028368794328,-3592.9238054873567,-0.2082821369144222,-28.630982531449355,47.94310594260088
0.38,0.75,0.05,695,-1.4940369343513107,-2.77021978977319,7.304393817594183,18.1294964028777,-3454.8924999176625,-0.20453948290036136,-28.630982531449355,51.3145732215064
0.38,0.75,0.1,687,-1.4597933623281834,-2.7929055863756846,7.541485243662051,17.903930131004365,-3336.8487510047553,-0.1935684172497732,-28.630982531449355,51.3145732215064
0.38,0.75,0.15,675,-1.428138512254484,-2.77021978977319,7.698725461941297,18.074074074074073,-3207.4692677497296,-0.18550323937572483,-28.630982531449355,51.3145732215064
0.38,0.75,,601,-1.4650422742505718,-2.77021978977319,8.113340593919446,14.143094841930118,-2929.631717252739,-0.18057201682726715,-28.630982531449355,51.3145732215064
0.38,0.5,0.05,695,-1.527626169958305,-2.7781515072322134,7.558771388530519,17.841726618705035,-3532.5660804753998,-0.2020997978952353,-28.630982531449355,54.686040500411906
0.38,0.5,0.1,687,-1.4358581653857376,-2.793275333439995,8.224125931812424,17.46724890829694,-3282.1368074629154,-0.17459097505202048,-28.630982531449355,54.686040500411906
0.38,0.5,0.15,675,-1.3720170422259745,-2.7781515072322134,8.620475998185556,17.77777777777778,-3081.4255480175184,-0.15915792150163838,-28.630982531449355,54.686040500411906
0.38,0.5,,601,-1.4453582423576867,-2.9757024312856064,10.986856379520205,11.813643926788686,-2890.2697376222814,-0.13155339365788682,-28.630982531449355,54.686040500411906
0.38,0.25,0.05,695,-1.561114686140839,-2.7929055863756846,8.047313437761607,17.697841726618705,-3610.0067519422287,-0.1939920320259166,-28.630982531449355,58.05750777931742
0.38,0.25,0.1,687,-1.4117774080357228,-2.8113695684593316,9.271639373436763,17.03056768558952,-3227.092136648348,-0.15226836928973572,-28.630982531449355,58.05750777931742
0.38,0.25,0.15,675,-1.3157918684937613,-2.8113695684593316,9.968898340929012,16.0,-2955.1489191943974,-0.1319896967041537,-28.630982531449355,58.05750777931742
0.38,0.25,,601,-1.4256575715296937,-2.986461061845157,14.611042590839608,11.647254575707153,-2850.8744852645514,-0.09757397958880153,-28.630982531449355,58.5780707938711
